ID,RetweetCt,Polarity,Subjectivity,CreatedTime,CreatedDay,TextLength,WordCt,AccountAgeMo,UserFollowersCt,Keywords,HasLinks
"""853081728352608256""",259,0.0,0.0,21:05,Fri,116,21,35,120661,"['@theellenshow', 'think', 'can', 'beat', 'raccoon', 'friend', 'hungry', 'kid', 'just', 'tryin', 'rai']",True
"""852602575358578688""",3409,-0.13181818181818183,0.42727272727272725,13:21,Thu,115,20,35,120661,"['@theellenshow', 'game', 'nugg', 'new', 'goal', '@wendys', 'will', 'give', 'adopted', 'kids', '@dtfa']",True
"""852595640047554562""",11,0.7,0.6000000000000001,12:53,Thu,49,5,35,120661,"['@ezekielelliott', '@dallasmavs', '@tonyromo', 'lookin', 'good']",False
"""852414777854894080""",1093,-0.3,0.475,00:54,Thu,92,16,35,120661,"['nevada', 'teen', 'request', 'lifetime', 'wendy', 'chicken', 'nuggets', 'set', 'twitter', 'record']",True
"""852305504462295040""",2,0.0,0.25,17:40,Wed,87,13,35,120661,"['@invisyt', '@kay', '@evan_moore', 'actually', 'minden', 'bit', 'south', 'fairly', 'similar']",False
"""851802207104020480""",515,0.2953125,0.225,08:20,Tue,64,6,35,120661,"['thanks', '@nevadawolfpack', 'supporting', '#nuggsforcarter', '#gopack']",True
"""851652411860975616""",1,0.15,0.3,22:25,Mon,69,13,35,120661,"['@maximusmach', 'yes', 'plan', 'making', 'few', 'more', 'designs', 'choose']",False
"""851651833466560512""",2,0.6,0.9,22:23,Mon,44,9,35,120661,"['@narebnsf', 'clue', 'totally', 'honest']",False
"""851651599017533440""",122,0.25,0.25,22:22,Mon,138,27,35,120661,"['fyi', 'made', 'shirts', 'many', 'people', 'asked', 'locally', 'over', 'twitter', 'buy', 'like']",False
"""851651414279442432""",432,-0.5,1.0,22:21,Mon,82,15,35,120661,"['confusion', 'profits', 'will', 'charities', 'sorry']",True
"""851650381176119296""",3,-0.5,1.0,22:17,Mon,137,22,35,120661,"['@laundryu_uta', '@azwinkles', '@caotk', '@dtfa', 'sorry', 'looking', 'now', 'can', 'see', 'asked', 'probably', 'proofread']",False
"""851630721160564736""",2,0.0,0.5,20:59,Mon,99,17,35,120661,"['@adhityamaniyan', 'planning', 'making', 'designs', 'will', 'let', 'guys', 'know', 'come', 'out']",False
"""851630545029050368""",17,0.05,0.5,20:58,Mon,106,19,35,120661,"['@caotk', 'check', 'website', 'far', 'going', 'donate', 'local', 'breast', 'cancer', 'foundations', '@dtfa']",False
"""851614740820377600""",4,-0.1,0.35,19:55,Mon,83,13,35,120661,"['@strikerhut', 'working', 'few', 'different', 'options', 'basic/first']",False
"""851605456246120448""",7,0.09285714285714285,0.31785714285714284,19:18,Mon,116,21,35,120661,"['@jenreifu', 'right', 'now', 'planning', 'donation', 'moms', 'run', 'breast', 'cancer', 'center', 'also', 'conside']",True
"""851600513959198721""",1117,0.0,0.0,18:59,Mon,74,10,35,120661,"['tshirts', 'coming', 'soon', 'profits', 'will', 'donated', 'charity', '#nuggsforcarter']",True
"""850939852027592704""",851,0.0,0.0,23:14,Sat,52,9,35,120661,"['hey', '@verizon', 'anything', 'want', 'say', '@att', '@tmobile']",True
"""850936712729460737""",754,0.0,0.0,23:01,Sat,36,7,35,120661,"['decimal', 'point', 'see']",True
"""850936388698513409""",90,-0.6,0.95,23:00,Sat,63,9,35,120661,"['@therock', '@jimmyfallon', 'hey', 'dwayne', 'like', 'chicken', 'nuggets']",False
"""850929936726609924""",11,0.0,0.0,22:34,Sat,17,3,35,120661,"['@deadmau', 'hey', 'dad']",False
"""850925124614209537""",14,0.0,0.0,22:15,Sat,69,13,35,120661,"['@marshmellomusic', 'hey', 'mello', 'can', 'get', 'retweet', 'gang']",False
"""850918218201944065""",322,0.0,0.0,21:48,Sat,28,6,35,120661,"['@wendys', 'bet', 'nuggets']",False
"""850911943284084736""",69,0.0,0.0,21:23,Sat,16,1,35,120661,['@ezekielelliott'],False
"""850908483557875713""",3,0.0,0.0,21:09,Sat,49,5,35,120661,"['@johnlegere', '@att', '@tmobile', '@wendys', '@chickenboysdad']",False
"""850892525346799617""",10,0.0,0.0,20:06,Sat,40,4,35,120661,"['@kamaldeterville', '@wendys', 'idfw', 'mcdonald']",False
"""850892315161903104""",1,0.0,0.0,20:05,Sat,38,4,35,120661,"['@whatshesaid_', '@uavehicle', '@wendys']",False
"""850892089529319424""",3,-0.4375,0.8,20:04,Sat,71,12,35,120661,"['@jamjad_', '@wendys', '@nowthisnews', 'sorry', 'late', 'yes', 'course']",False
"""850891841264168960""",1,0.0,0.0,20:03,Sat,23,2,35,120661,"['@_hernandezrocio', '#gloup']",False
"""850891670212067328""",1,0.0,0.0,20:02,Sat,43,3,35,120661,"['@mugsysam', '@justinisbustin_', '@aparicio_moises']",False
"""850885329938661377""",1,0.85,1.0,19:37,Sat,21,3,35,120661,"['@keemstar', 'beautiful']",False
"""850882199561805824""",5,0.0,0.0,19:24,Sat,28,5,35,120661,"['@spurs', 'hey', 'name', 'carter']",False
